id,Name,first_name,last_name,birth_date,canton_de,canton_fr,canton_it,party_de,party_fr,party_it,parl_group_de,parl_group_fr,parl_group_it,v20767,v21029,v22370,v23336,v23487,v23607,v24059,v24907,v25013,v25070,v25320,v25344,v25479,v26199,v25485,v25488,v25607,v25715,v25814,v26464,v26465,v26466,v26764,v26638,v26742
4058,Jacqueline Badran,Jacqueline,Badran,1961-11-12,Zürich,Zurich,Zurigo,Sozialdemokratische Partei der Schweiz,Parti socialiste suisse,Partito socialista svizzero,Sozialdemokratische Fraktion,Groupe socialiste,Gruppo socialista,1,1,1,4,1,1,1,3,1,1,1,4,1,4,0,1,1,1,1,4,4,4,1,1,1
4203,Angelo Barrile,Angelo,Barrile,1976-08-22,Zürich,Zurich,Zurigo,Sozialdemokratische Partei der Schweiz,Parti socialiste suisse,Partito socialista svizzero,Sozialdemokratische Fraktion,Groupe socialiste,Gruppo socialista,1,1,3,1,3,3,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,0
4247,Kilian Baumann,Kilian,Baumann,1980-12-14,Bern,Berne,Berna,GRÜNE Schweiz,Les VERT-E-S suisses,VERDI Svizzeri,Grüne Fraktion,Groupe des VERT-E-S,Gruppo dei Verdi,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1
1138,Martin Bäumle,Martin,Bäumle,1964-06-03,Zürich,Zurich,Zurigo,Grünliberale Partei,Parti vert'libéral,Partito Verde liberale,Grünliberale Fraktion,Groupe vert'libéral,Gruppo verde liberale,1,1,1,1,1,4,2,4,1,4,4,4,1,0,1,1,1,1,1,4,4,4,1,1,1
4248,Judith Bellaiche,Judith,Bellaiche,1971-02-02,Zürich,Zurich,Zurigo,Grünliberale Partei,Parti vert'libéral,Partito Verde liberale,Grünliberale Fraktion,Groupe vert'libéral,Gruppo verde liberale,1,4,1,4,1,1,1,1,1,4,1,1,1,0,1,1,1,1,4,1,2,1,1,1,1
4213,Samuel Bendahan,Samuel,Bendahan,1980-06-11,Waadt,Vaud,Vaud,Sozialdemokratische Partei der Schweiz,Parti socialiste suisse,Partito socialista svizzero,Sozialdemokratische Fraktion,Groupe socialiste,Gruppo socialista,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1
4330,Alexandre Berthoud,Alexandre,Berthoud,1977-06-29,Waadt,Vaud,Vaud,FDP.Die Liberalen,PLR.Les Libéraux-Radicaux,PLR.I Liberali Radicali,FDP-Liberale Fraktion,Groupe libéral-radical,Gruppo liberale radicale,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1
4102,Kathrin Bertschy,Kathrin,Bertschy,1979-07-02,Bern,Berne,Berna,Grünliberale Partei,Parti vert'libéral,Partito Verde liberale,Grünliberale Fraktion,Groupe vert'libéral,Gruppo verde liberale,1,4,1,3,1,1,4,4,1,1,1,4,1,4,1,1,1,1,1,4,4,1,1,3,4
4249,Marianne Binder-Keller,Marianne,Binder-Keller,1958-06-15,Aargau,Argovie,Argovia,Die Mitte,Le Centre,Alleanza del Centro,Die Mitte-Fraktion. Die Mitte. EVP.,Le Groupe du Centre. Le Centre. PEV.,Il Gruppo del Centro. Alleanza del Centro. PEV.,2,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,4,1,1,1,4,1,1
4250,Martina Bircher,Martina,Bircher,1984-04-13,Aargau,Argovie,Argovia,Schweizerische Volkspartei,Union Démocratique du Centre,Unione democratica di Centro,Fraktion der Schweizerischen Volkspartei,Groupe de l'Union démocratique du Centre,Gruppo dell'Unione democratica di Centro,1,0,0,0,2,2,0,0,0,0,0,1,0,1,0,2,0,2,0,0,0,0,0,0,0
4030,Prisca Birrer-Heimo,Prisca,Birrer-Heimo,1959-02-04,Luzern,Lucerne,Lucerna,Sozialdemokratische Partei der Schweiz,Parti socialiste suisse,Partito socialista svizzero,Sozialdemokratische Fraktion,Groupe socialiste,Gruppo socialista,1,1,1,4,1,1,1,1,1,1,1,2,1,0,0,1,1,1,1,1,1,1,1,1,1
3229,Thomas Bläsi,Thomas,Bläsi,1971-04-17,Genf,Genève,Ginevra,Schweizerische Volkspartei,Union Démocratique du Centre,Unione democratica di Centro,Fraktion der Schweizerischen Volkspartei,Groupe de l'Union démocratique du Centre,Gruppo dell'Unione democratica di Centro,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3872,Jacques Bourgeois,Jacques,Bourgeois,1958-03-14,Freiburg,Fribourg,Friburgo,FDP.Die Liberalen,PLR.Les Libéraux-Radicaux,PLR.I Liberali Radicali,FDP-Liberale Fraktion,Groupe libéral-radical,Gruppo liberale radicale,1,0,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,4,1,1,1,4,0,1
4230,Philipp Matthias Bregy,Philipp Matthias,Bregy,1978-07-07,Wallis,Valais,Vallese,Die Mitte,Le Centre,Alleanza del Centro,Die Mitte-Fraktion. Die Mitte. EVP.,Le Groupe du Centre. Le Centre. PEV.,Il Gruppo del Centro. Alleanza del Centro. PEV.,2,1,1,1,1,4,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,0,1,1
4315,Florence Brenzikofer,Florence,Brenzikofer,1975-04-15,Basel-Landschaft,Bâle-Campagne,Basilea-Campagna,GRÜNE Schweiz,Les VERT-E-S suisses,VERDI Svizzeri,Grüne Fraktion,Groupe des VERT-E-S,Gruppo dei Verdi,2,1,1,1,1,4,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1
4251,Thomas Brunner,Thomas,Brunner,1960-07-25,St. Gallen,St-Gall,San Gallo,Grünliberale Partei,Parti vert'libéral,Partito Verde liberale,Grünliberale Fraktion,Groupe vert'libéral,Gruppo verde liberale,1,1,1,1,1,1,1,1,1,1,1,1,1,0,2,1,1,1,1,1,1,1,1,1,1
4025,Roland Rino Büchel,Roland Rino,Büchel,1965-10-08,St. Gallen,St-Gall,San Gallo,Schweizerische Volkspartei,Union Démocratique du Centre,Unione democratica di Centro,Fraktion der Schweizerischen Volkspartei,Groupe de l'Union démocratique du Centre,Gruppo dell'Unione democratica di Centro,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,3,3
4156,Michaël Buffat,Michaël,Buffat,1979-09-27,Waadt,Vaud,Vaud,Schweizerische Volkspartei,Union Démocratique du Centre,Unione democratica di Centro,Fraktion der Schweizerischen Volkspartei,Groupe de l'Union démocratique du Centre,Gruppo dell'Unione democratica di Centro,1,0,0,0,0,0,0,0,0,4,0,1,0,1,0,2,0,0,4,0,0,0,0,0,0
4157,Manfred Bühler,Manfred,Bühler,1979-04-10,Bern,Berne,Berna,Schweizerische Volkspartei,Union Démocratique du Centre,Unione democratica di Centro,Fraktion der Schweizerischen Volkspartei,Groupe de l'Union démocratique du Centre,Gruppo dell'Unione democratica di Centro,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,0,0,0,0,0,0
4101,Christine Bulliard-Marbach,Christine,Bulliard-Marbach,1959-10-13,Freiburg,Fribourg,Friburgo,Die Mitte,Le Centre,Alleanza del Centro,Die Mitte-Fraktion. Die Mitte. EVP.,Le Groupe du Centre. Le Centre. PEV.,Il Gruppo del Centro. Alleanza del Centro. PEV.,1,1,1,4,1,1,1,1,1,1,1,4,0,1,1,1,1,1,1,1,1,1,0,1,1
4158,Thomas Burgherr,Thomas,Burgherr,1962-08-01,Aargau,Argovie,Argovia,Schweizerische Volkspartei,Union Démocratique du Centre,Unione democratica di Centro,Fraktion der Schweizerischen Volkspartei,Groupe de l'Union démocratique du Centre,Gruppo dell'Unione democratica di Centro,1,0,4,0,0,0,0,0,0,0,0,1,0,1,0,2,4,0,0,0,0,0,0,0,0
4070,Martin Candinas,Martin,Candinas,1980-08-20,Graubünden,Grisons,Grigioni,Die Mitte,Le Centre,Alleanza del Centro,Die Mitte-Fraktion. Die Mitte. EVP.,Le Groupe du Centre. Le Centre. PEV.,Il Gruppo del Centro. Alleanza del Centro. PEV.,1,1,1,1,1,4,1,1,1,1,1,0,0,5,1,1,1,3,5,5,5,5,5,5,5
4217,Rocco Cattaneo,Rocco,Cattaneo,1958-12-06,Tessin,Tessin,Ticino,FDP.Die Liberalen,PLR.Les Libéraux-Radicaux,PLR.I Liberali Radicali,FDP-Liberale Fraktion,Groupe libéral-radical,Gruppo liberale radicale,1,1,0,1,1,1,0,1,0,1,1,1,1,1,1,1,1,4,1,1,1,1,0,0,1
4252,Katja Christ,Katja,Christ,1972-08-01,Basel-Stadt,Bâle-Ville,Basilea-Città,Grünliberale Partei,Parti vert'libéral,Partito Verde liberale,Grünliberale Fraktion,Groupe vert'libéral,Gruppo verde liberale,1,1,1,1,1,1,1,1,1,1,4,1,1,0,1,1,1,1,1,1,1,1,1,1,1
4253,Christophe Clivaz,Christophe,Clivaz,1969-01-07,Wallis,Valais,Vallese,GRÜNE Schweiz,Les VERT-E-S suisses,VERDI Svizzeri,Grüne Fraktion,Groupe des VERT-E-S,Gruppo dei Verdi,2,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1
4254,Damien Cottier,Damien,Cottier,1975-04-03,Neuenburg,Neuchâtel,Neuchâtel,FDP.Die Liberalen,PLR.Les Libéraux-Radicaux,PLR.I Liberali Radicali,FDP-Liberale Fraktion,Groupe libéral-radical,Gruppo liberale radicale,1,2,2,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1
4219,Brigitte Crottaz,Brigitte,Crottaz,1957-10-06,Waadt,Vaud,Vaud,Sozialdemokratische Partei der Schweiz,Parti socialiste suisse,Partito socialista svizzero,Sozialdemokratische Fraktion,Groupe socialiste,Gruppo socialista,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1
4255,Christian Dandrès,Christian,Dandrès,1981-02-13,Genf,Genève,Ginevra,Sozialdemokratische Partei der Schweiz,Parti socialiste suisse,Partito socialista svizzero,Sozialdemokratische Fraktion,Groupe socialiste,Gruppo socialista,1,1,3,1,1,1,4,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1
4051,Thomas de Courten,Thomas,de Courten,1966-07-29,Basel-Landschaft,Bâle-Campagne,Basilea-Campagna,Schweizerische Volkspartei,Union Démocratique du Centre,Unione democratica di Centro,Fraktion der Schweizerischen Volkspartei,Groupe de l'Union démocratique du Centre,Gruppo dell'Unione democratica di Centro,0,0,0,0,0,0,0,4,0,0,1,1,0,1,0,0,0,0,2,0,0,0,0,0,0
4201,Denis de la Reussille,Denis,de la Reussille,1960-10-24,Neuenburg,Neuchâtel,Neuchâtel,Partei der Arbeit der Schweiz,Parti Suisse du travail,Partito svizzero del Lavoro,Grüne Fraktion,Groupe des VERT-E-S,Gruppo dei Verdi,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,2,1,1,1,1,1,1,1
4256,Simone de Montmollin,Simone,de Montmollin,1968-07-20,Genf,Genève,Ginevra,FDP.Die Liberalen,PLR.Les Libéraux-Radicaux,PLR.I Liberali Radicali,FDP-Liberale Fraktion,Groupe libéral-radical,Gruppo liberale radicale,1,0,2,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1
4257,Jacqueline de Quattro,Jacqueline,de Quattro,1960-06-24,Waadt,Vaud,Vaud,FDP.Die Liberalen,PLR.Les Libéraux-Radicaux,PLR.I Liberali Radicali,FDP-Liberale Fraktion,Groupe libéral-radical,Gruppo liberale radicale,1,0,0,1,1,1,0,1,0,1,1,1,1,1,1,1,1,4,1,1,1,1,0,0,1
4160,Marcel Dettling,Marcel,Dettling,1981-02-01,Schwyz,Schwyz,Svitto,Schweizerische Volkspartei,Union Démocratique du Centre,Unione democratica di Centro,Fraktion der Schweizerischen Volkspartei,Groupe de l'Union démocratique du Centre,Gruppo dell'Unione democratica di Centro,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0
4190,Marcel Dobler,Marcel,Dobler,1980-08-29,St. Gallen,St-Gall,San Gallo,FDP.Die Liberalen,PLR.Les Libéraux-Radicaux,PLR.I Liberali Radicali,FDP-Liberale Fraktion,Groupe libéral-radical,Gruppo liberale radicale,1,0,0,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1
4258,Kurt Egger,Kurt,Egger,1956-01-19,Thurgau,Thurgovie,Turgovia,GRÜNE Schweiz,Les VERT-E-S suisses,VERDI Svizzeri,Grüne Fraktion,Groupe des VERT-E-S,Gruppo dei Verdi,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1
4229,Mike Egger,Mike,Egger,1992-08-02,St. Gallen,St-Gall,San Gallo,Schweizerische Volkspartei,Union Démocratique du Centre,Unione democratica di Centro,Fraktion der Schweizerischen Volkspartei,Groupe de l'Union démocratique du Centre,Gruppo dell'Unione democratica di Centro,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2,1,0,0,0,0,0,0
3876,Yvette Estermann,Yvette,Estermann,1967-02-26,Luzern,Lucerne,Lucerna,Schweizerische Volkspartei,Union Démocratique du Centre,Unione democratica di Centro,Fraktion der Schweizerischen Volkspartei,Groupe de l'Union démocratique du Centre,Gruppo dell'Unione democratica di Centro,0,4,0,3,0,4,0,0,4,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
4259,Alex Farinelli,Alex,Farinelli,1981-12-16,Tessin,Tessin,Ticino,FDP.Die Liberalen,PLR.Les Libéraux-Radicaux,PLR.I Liberali Radicali,FDP-Liberale Fraktion,Groupe libéral-radical,Gruppo liberale radicale,1,0,0,1,1,1,0,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,1
4195,Laurence Fehlmann Rielle,Laurence,Fehlmann Rielle,1955-09-11,Genf,Genève,Ginevra,Sozialdemokratische Partei der Schweiz,Parti socialiste suisse,Partito socialista svizzero,Sozialdemokratische Fraktion,Groupe socialiste,Gruppo socialista,1,1,1,1,1,1,3,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1
4077,Olivier Feller,Olivier,Feller,1974-08-30,Waadt,Vaud,Vaud,FDP.Die Liberalen,PLR.Les Libéraux-Radicaux,PLR.I Liberali Radicali,FDP-Liberale Fraktion,Groupe libéral-radical,Gruppo liberale radicale,1,0,0,1,1,1,2,1,0,1,1,1,4,1,1,1,1,1,1,1,1,1,0,0,1
4069,Yvonne Feri,Yvonne,Feri,1966-03-21,Aargau,Argovie,Argovia,Sozialdemokratische Partei der Schweiz,Parti socialiste suisse,Partito socialista svizzero,Sozialdemokratische Fraktion,Groupe socialiste,Gruppo socialista,1,1,4,1,1,4,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,0
3877,Doris Fiala,Doris,Fiala,1957-01-29,Zürich,Zurich,Zurigo,FDP.Die Liberalen,PLR.Les Libéraux-Radicaux,PLR.I Liberali Radicali,FDP-Liberale Fraktion,Groupe libéral-radical,Gruppo liberale radicale,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,3,3,1,1,1,0,0,0
4326,Benjamin Fischer,Benjamin,Fischer,1991-08-16,Zürich,Zurich,Zurigo,Schweizerische Volkspartei,Union Démocratique du Centre,Unione democratica di Centro,Fraktion der Schweizerischen Volkspartei,Groupe de l'Union démocratique du Centre,Gruppo dell'Unione democratica di Centro,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0
4089,Roland Fischer,Roland,Fischer,1965-04-05,Luzern,Lucerne,Lucerna,Grünliberale Partei,Parti vert'libéral,Partito Verde liberale,Grünliberale Fraktion,Groupe vert'libéral,Gruppo verde liberale,1,1,1,1,1,1,1,1,1,3,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1
4260,Fabien Fivaz,Fabien,Fivaz,1978-02-25,Neuenburg,Neuchâtel,Neuchâtel,GRÜNE Schweiz,Les VERT-E-S suisses,VERDI Svizzeri,Grüne Fraktion,Groupe des VERT-E-S,Gruppo dei Verdi,2,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1
4059,Beat Flach,Beat,Flach,1965-01-21,Aargau,Argovie,Argovia,Grünliberale Partei,Parti vert'libéral,Partito Verde liberale,Grünliberale Fraktion,Groupe vert'libéral,Gruppo verde liberale,1,1,1,1,1,1,1,1,1,1,1,4,1,0,1,1,1,1,1,1,1,1,1,1,1
1122,Kurt Fluri,Kurt,Fluri,1955-08-19,Solothurn,Soleure,Soletta,FDP.Die Liberalen,PLR.Les Libéraux-Radicaux,PLR.I Liberali Radicali,FDP-Liberale Fraktion,Groupe libéral-radical,Gruppo liberale radicale,1,0,0,4,1,1,0,1,0,1,1,1,1,1,1,1,1,4,1,1,1,1,0,0,0
4074,Pierre-Alain Fridez,Pierre-Alain,Fridez,1957-11-20,Jura,Jura,Giura,Sozialdemokratische Partei der Schweiz,Parti socialiste suisse,Partito socialista svizzero,Sozialdemokratische Fraktion,Groupe socialiste,Gruppo socialista,1,1,1,1,1,1,1,1,4,3,1,1,3,0,3,3,1,1,1,3,3,3,2,1,1
4131,Claudia Friedl,Claudia,Friedl,1960-07-19,St. Gallen,St-Gall,San Gallo,Sozialdemokratische Partei der Schweiz,Parti socialiste suisse,Partito socialista svizzero,Sozialdemokratische Fraktion,Groupe socialiste,Gruppo socialista,1,1,1,1,1,1,1,1,1,1,4,1,1,0,0,1,1,1,1,1,1,1,1,1,1
4262,Tamara Funiciello,Tamara,Funiciello,1990-03-20,Bern,Berne,Berna,Sozialdemokratische Partei der Schweiz,Parti socialiste suisse,Partito socialista svizzero,Sozialdemokratische Fraktion,Groupe socialiste,Gruppo socialista,1,1,1,1,1,4,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1
4263,Andreas Gafner,Andreas,Gafner,1971-03-31,Bern,Berne,Berna,Eidgenössisch-Demokratische Union,Union Démocratique Féderale,Unione Democratica Federale,Fraktion der Schweizerischen Volkspartei,Groupe de l'Union démocratique du Centre,Gruppo dell'Unione democratica di Centro,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,4,0,0,0,0,0,0
3880,Andrea Martina Geissbühler,Andrea Martina,Geissbühler,1976-08-03,Bern,Berne,Berna,Schweizerische Volkspartei,Union Démocratique du Centre,Unione democratica di Centro,Fraktion der Schweizerischen Volkspartei,Groupe de l'Union démocratique du Centre,Gruppo dell'Unione democratica di Centro,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0
4265,Anna Giacometti,Anna,Giacometti,1961-09-08,Graubünden,Grisons,Grigioni,FDP.Die Liberalen,PLR.Les Libéraux-Radicaux,PLR.I Liberali Radicali,FDP-Liberale Fraktion,Groupe libéral-radical,Gruppo liberale radicale,1,0,2,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1
4266,Benjamin Giezendanner,Benjamin,Giezendanner,1982-04-22,Aargau,Argovie,Argovia,Schweizerische Volkspartei,Union Démocratique du Centre,Unione democratica di Centro,Fraktion der Schweizerischen Volkspartei,Groupe de l'Union démocratique du Centre,Gruppo dell'Unione democratica di Centro,1,0,4,0,1,0,0,0,0,0,0,1,0,1,0,2,0,0,4,0,0,0,4,0,4
3882,Bastien Girod,Bastien,Girod,1980-12-21,Zürich,Zurich,Zurigo,GRÜNE Schweiz,Les VERT-E-S suisses,VERDI Svizzeri,Grüne Fraktion,Groupe des VERT-E-S,Gruppo dei Verdi,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,4,1,1,1,1,1,4
1337,Ida Glanzmann-Hunkeler,Ida,Glanzmann-Hunkeler,1958-09-29,Luzern,Lucerne,Lucerna,Die Mitte,Le Centre,Alleanza del Centro,Die Mitte-Fraktion. Die Mitte. EVP.,Le Groupe du Centre. Le Centre. PEV.,Il Gruppo del Centro. Alleanza del Centro. PEV.,4,1,1,1,1,1,1,1,1,1,4,2,0,1,1,1,1,1,1,1,1,1,0,1,1
4161,Andreas Glarner,Andreas,Glarner,1962-10-09,Aargau,Argovie,Argovia,Schweizerische Volkspartei,Union Démocratique du Centre,Unione democratica di Centro,Fraktion der Schweizerischen Volkspartei,Groupe de l'Union démocratique du Centre,Gruppo dell'Unione democratica di Centro,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0
4093,Balthasar Glättli,Balthasar,Glättli,1972-02-12,Zürich,Zurich,Zurigo,GRÜNE Schweiz,Les VERT-E-S suisses,VERDI Svizzeri,Grüne Fraktion,Groupe des VERT-E-S,Gruppo dei Verdi,1,1,1,1,1,1,1,1,1,1,4,4,1,0,0,1,1,1,1,1,1,1,1,1,1
4096,Alois Gmür,Alois,Gmür,1955-04-03,Schwyz,Schwyz,Svitto,Die Mitte,Le Centre,Alleanza del Centro,Die Mitte-Fraktion. Die Mitte. EVP.,Le Groupe du Centre. Le Centre. PEV.,Il Gruppo del Centro. Alleanza del Centro. PEV.,1,0,0,0,1,1,1,1,0,1,1,0,0,1,1,1,1,4,1,1,1,1,0,1,1
4116,Petra Gössi,Petra,Gössi,1976-01-12,Schwyz,Schwyz,Svitto,FDP.Die Liberalen,PLR.Les Libéraux-Radicaux,PLR.I Liberali Radicali,FDP-Liberale Fraktion,Groupe libéral-radical,Gruppo liberale radicale,1,0,0,1,1,1,0,1,0,3,1,1,1,1,1,1,1,1,1,3,3,3,0,0,0
3230,Michael Götte ,Michael,Götte,1979-06-16,St. Gallen,St-Gall,San Gallo,Schweizerische Volkspartei,Union Démocratique du Centre,Unione democratica di Centro,Fraktion der Schweizerischen Volkspartei,Groupe de l'Union démocratique du Centre,Gruppo dell'Unione democratica di Centro,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4319,Michael Graber,Michael,Graber,1981-06-03,Wallis,Valais,Vallese,Schweizerische Volkspartei,Union Démocratique du Centre,Unione democratica di Centro,Fraktion der Schweizerischen Volkspartei,Groupe de l'Union démocratique du Centre,Gruppo dell'Unione democratica di Centro,NA,NA,NA,4,0,4,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0
1295,Edith Graf-Litscher,Edith,Graf-Litscher,1964-03-25,Thurgau,Thurgovie,Turgovia,Sozialdemokratische Partei der Schweiz,Parti socialiste suisse,Partito socialista svizzero,Sozialdemokratische Fraktion,Groupe socialiste,Gruppo socialista,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,2,1,1
4267,Corina Gredig,Corina,Gredig,1987-09-08,Zürich,Zurich,Zurigo,Grünliberale Partei,Parti vert'libéral,Partito Verde liberale,Grünliberale Fraktion,Groupe vert'libéral,Gruppo verde liberale,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1
3885,Jean-Pierre Grin,Jean-Pierre,Grin,1947-03-16,Waadt,Vaud,Vaud,Schweizerische Volkspartei,Union Démocratique du Centre,Unione democratica di Centro,Fraktion der Schweizerischen Volkspartei,Groupe de l'Union démocratique du Centre,Gruppo dell'Unione democratica di Centro,1,4,0,0,1,0,0,0,0,0,0,1,4,1,4,4,0,0,4,0,0,0,4,0,0
4083,Jürg Grossen,Jürg,Grossen,1969-08-24,Bern,Berne,Berna,Grünliberale Partei,Parti vert'libéral,Partito Verde liberale,Grünliberale Fraktion,Groupe vert'libéral,Gruppo verde liberale,1,1,1,1,1,1,4,4,1,1,1,1,1,0,1,1,1,4,1,1,1,1,1,1,1
