id,Name,first_name,last_name,birth_date,canton_de,canton_fr,canton_it,party_de,party_fr,party_it,parl_group_de,parl_group_fr,parl_group_it,v5066,v5078,v5093,v5317,v5318,v5584,v3655,v10SR,v18SR,v4SR
4056,Daniel Fässler,Daniel,Fässler,1960-08-22,Appenzell I.-Rh.,Appenzell Rh.-Int.,Appenzello Interno,Die Mitte,Le Centre,Alleanza del Centro,Die Mitte-Fraktion. Die Mitte. EVP.,Le Groupe du Centre. Le Centre. PEV.,Il Gruppo del Centro. Alleanza del Centro. PEV.,1,1,1,4,1,0,1,0,0,1
3879,Olivier Français,Olivier,Français,1955-10-01,Waadt,Vaud,Vaud,FDP.Die Liberalen,PLR.Les Libéraux-Radicaux,PLR.I Liberali Radicali,FDP-Liberale Fraktion,Groupe libéral-radical,Gruppo liberale radicale,1,1,4,1,0,0,1,1,1,1
4306,Johanna Gapany,Johanna,Gapany,1988-07-25,Freiburg,Fribourg,Friburgo,FDP.Die Liberalen,PLR.Les Libéraux-Radicaux,PLR.I Liberali Radicali,FDP-Liberale Fraktion,Groupe libéral-radical,Gruppo liberale radicale,1,1,1,1,1,1,1,1,4,1
825,Hannes Germann,Hannes,Germann,1956-07-01,Schaffhausen,Schaffhouse,Sciaffusa,Schweizerische Volkspartei,Union Démocratique du Centre,Unione democratica di Centro,Fraktion der Schweizerischen Volkspartei,Groupe de l'Union démocratique du Centre,Gruppo dell'Unione democratica di Centro,1,1,1,1,2,1,1,4,0,0
4181,Andrea Gmür-Schönenberger,Andrea,Gmür-Schönenberger,1964-07-17,Luzern,Lucerne,Lucerna,Die Mitte,Le Centre,Alleanza del Centro,Die Mitte-Fraktion. Die Mitte. EVP.,Le Groupe du Centre. Le Centre. PEV.,Il Gruppo del Centro. Alleanza del Centro. PEV.,1,4,1,0,1,0,1,1,1,1
806,Maya Graf,Maya,Graf,1962-02-28,Basel-Landschaft,Bâle-Campagne,Basilea-Campagna,GRÜNE Schweiz,Les VERT-E-S suisses,VERDI Svizzeri,Grüne Fraktion,Groupe des VERT-E-S,Gruppo dei Verdi,1,0,1,1,0,1,1,1,1,1
1106,Brigitte Häberli-Koller,Brigitte,Häberli-Koller,1958-08-23,Thurgau,Thurgovie,Turgovia,Die Mitte,Le Centre,Alleanza del Centro,Die Mitte-Fraktion. Die Mitte. EVP.,Le Groupe du Centre. Le Centre. PEV.,Il Gruppo del Centro. Alleanza del Centro. PEV.,4,1,1,1,1,5,1,1,0,1
4139,Thomas Hefti,Thomas,Hefti,1959-10-30,Glarus,Glaris,Glarona,FDP.Die Liberalen,PLR.Les Libéraux-Radicaux,PLR.I Liberali Radicali,FDP-Liberale Fraktion,Groupe libéral-radical,Gruppo liberale radicale,5,5,5,5,5,4,1,0,1,5
4153,Peter Hegglin,Peter,Hegglin,1960-12-25,Zug,Zoug,Zugo,Die Mitte,Le Centre,Alleanza del Centro,Die Mitte-Fraktion. Die Mitte. EVP.,Le Groupe du Centre. Le Centre. PEV.,Il Gruppo del Centro. Alleanza del Centro. PEV.,1,1,4,1,0,1,1,1,0,4
4239,Eva Herzog,Eva,Herzog,1961-12-25,Basel-Stadt,Bâle-Ville,Basilea-Città,Sozialdemokratische Partei der Schweiz,Parti socialiste suisse,Partito socialista svizzero,Sozialdemokratische Fraktion,Groupe socialiste,Gruppo socialista,1,4,1,1,0,4,1,1,4,1
3891,Daniel Jositsch,Daniel,Jositsch,1965-03-25,Zürich,Zurich,Zurigo,Sozialdemokratische Partei der Schweiz,Parti socialiste suisse,Partito socialista svizzero,Sozialdemokratische Fraktion,Groupe socialiste,Gruppo socialista,1,0,4,4,4,0,1,1,1,3
4240,Charles Juillard,Charles,Juillard,1962-12-17,Jura,Jura,Giura,Die Mitte,Le Centre,Alleanza del Centro,Die Mitte-Fraktion. Die Mitte. EVP.,Le Groupe du Centre. Le Centre. PEV.,Il Gruppo del Centro. Alleanza del Centro. PEV.,1,1,4,1,1,0,1,1,0,1
4114,Hansjörg Knecht,Hansjörg,Knecht,1960-03-24,Aargau,Argovie,Argovia,Schweizerische Volkspartei,Union Démocratique du Centre,Unione democratica di Centro,Fraktion der Schweizerischen Volkspartei,Groupe de l'Union démocratique du Centre,Gruppo dell'Unione democratica di Centro,1,1,1,1,1,1,1,0,0,0
1162,Alex Kuprecht,Alex,Kuprecht,1957-12-22,Schwyz,Schwyz,Svitto,Schweizerische Volkspartei,Union Démocratique du Centre,Unione democratica di Centro,Fraktion der Schweizerischen Volkspartei,Groupe de l'Union démocratique du Centre,Gruppo dell'Unione democratica di Centro,1,1,1,1,1,4,1,4,4,4
4303,Marianne Maret,Marianne,Maret,1958-06-15,Wallis,Valais,Vallese,Die Mitte,Le Centre,Alleanza del Centro,Die Mitte-Fraktion. Die Mitte. EVP.,Le Groupe du Centre. Le Centre. PEV.,Il Gruppo del Centro. Alleanza del Centro. PEV.,1,1,4,0,1,0,1,1,1,1
4186,Lisa Mazzone,Lisa,Mazzone,1988-01-25,Genf,Genève,Ginevra,GRÜNE Schweiz,Les VERT-E-S suisses,VERDI Svizzeri,Grüne Fraktion,Groupe des VERT-E-S,Gruppo dei Verdi,2,0,1,1,0,1,1,1,1,1
4309,Matthias Michel,Matthias,Michel,1963-03-20,Zug,Zoug,Zugo,FDP.Die Liberalen,PLR.Les Libéraux-Radicaux,PLR.I Liberali Radicali,FDP-Liberale Fraktion,Groupe libéral-radical,Gruppo liberale radicale,1,1,1,1,1,1,1,1,1,1
4112,Thomas Minder,Thomas,Minder,1960-12-26,Schaffhausen,Schaffhouse,Sciaffusa,parteilos,sans parti,senza partito,Fraktion der Schweizerischen Volkspartei,Groupe de l'Union démocratique du Centre,Gruppo dell'Unione democratica di Centro,1,1,1,1,0,1,0,0,0,1
4207,Damian Müller,Damian,Müller,1984-10-25,Luzern,Lucerne,Lucerna,FDP.Die Liberalen,PLR.Les Libéraux-Radicaux,PLR.I Liberali Radicali,FDP-Liberale Fraktion,Groupe libéral-radical,Gruppo liberale radicale,1,4,4,1,1,1,1,0,1,1
1153,Ruedi Noser,Ruedi,Noser,1961-04-14,Zürich,Zurich,Zurigo,FDP.Die Liberalen,PLR.Les Libéraux-Radicaux,PLR.I Liberali Radicali,FDP-Liberale Fraktion,Groupe libéral-radical,Gruppo liberale radicale,1,1,1,1,1,1,1,1,4,0
4316,Othmar Reichmuth,Othmar,Reichmuth,1964-01-24,Schwyz,Schwyz,Svitto,Die Mitte,Le Centre,Alleanza del Centro,Die Mitte-Fraktion. Die Mitte. EVP.,Le Groupe du Centre. Le Centre. PEV.,Il Gruppo del Centro. Alleanza del Centro. PEV.,1,1,1,0,1,0,1,0,0,1
4204,Beat Rieder,Beat,Rieder,1963-02-12,Wallis,Valais,Vallese,Die Mitte,Le Centre,Alleanza del Centro,Die Mitte-Fraktion. Die Mitte. EVP.,Le Groupe du Centre. Le Centre. PEV.,Il Gruppo del Centro. Alleanza del Centro. PEV.,1,1,1,0,4,0,2,1,1,0
4172,Werner Salzmann,Werner,Salzmann,1962-11-05,Bern,Berne,Berna,Schweizerische Volkspartei,Union Démocratique du Centre,Unione democratica di Centro,Fraktion der Schweizerischen Volkspartei,Groupe de l'Union démocratique du Centre,Gruppo dell'Unione democratica di Centro,1,1,1,1,0,1,1,0,0,0
4078,Martin Schmid,Martin,Schmid,1969-05-24,Graubünden,Grisons,Grigioni,FDP.Die Liberalen,PLR.Les Libéraux-Radicaux,PLR.I Liberali Radicali,FDP-Liberale Fraktion,Groupe libéral-radical,Gruppo liberale radicale,1,4,1,1,1,0,1,0,1,4
1120,Carlo Sommaruga,Carlo,Sommaruga,1959-07-08,Genf,Genève,Ginevra,Sozialdemokratische Partei der Schweiz,Parti socialiste suisse,Partito socialista svizzero,Sozialdemokratische Fraktion,Groupe socialiste,Gruppo socialista,1,4,1,1,0,0,1,1,0,1
4241,Jakob Stark,Jakob,Stark,1958-09-08,Thurgau,Thurgovie,Turgovia,Schweizerische Volkspartei,Union Démocratique du Centre,Unione democratica di Centro,Fraktion der Schweizerischen Volkspartei,Groupe de l'Union démocratique du Centre,Gruppo dell'Unione democratica di Centro,4,1,1,1,4,4,1,4,3,0
1267,Hans Stöckli,Hans,Stöckli,1952-04-12,Bern,Berne,Berna,Sozialdemokratische Partei der Schweiz,Parti socialiste suisse,Partito socialista svizzero,Sozialdemokratische Fraktion,Groupe socialiste,Gruppo socialista,1,0,4,1,0,0,4,5,5,1
3907,Adèle Thorens Goumaz,Adèle,Thorens Goumaz,1971-12-15,Waadt,Vaud,Vaud,GRÜNE Schweiz,Les VERT-E-S suisses,VERDI Svizzeri,Grüne Fraktion,Groupe des VERT-E-S,Gruppo dei Verdi,1,0,1,1,0,1,1,1,1,1
4242,Céline Vara,Céline,Vara,1984-10-04,Neuenburg,Neuchâtel,Neuchâtel,GRÜNE Schweiz,Les VERT-E-S suisses,VERDI Svizzeri,Grüne Fraktion,Groupe des VERT-E-S,Gruppo dei Verdi,1,0,4,1,0,1,2,1,1,1
4152,Hans Wicki,Hans,Wicki,1964-02-18,Nidwalden,Nidwald,Nidvaldo,FDP.Die Liberalen,PLR.Les Libéraux-Radicaux,PLR.I Liberali Radicali,FDP-Liberale Fraktion,Groupe libéral-radical,Gruppo liberale radicale,1,1,4,1,1,0,1,0,1,4
4237,Benedikt Würth,Benedikt,Würth,1968-06-03,St. Gallen,St-Gall,San Gallo,Die Mitte,Le Centre,Alleanza del Centro,Die Mitte-Fraktion. Die Mitte. EVP.,Le Groupe du Centre. Le Centre. PEV.,Il Gruppo del Centro. Alleanza del Centro. PEV.,1,1,1,0,1,0,1,0,0,0
4243,Heidi Z'graggen,Heidi,Z'graggen,1966-12-02,Uri,Uri,Uri,Die Mitte,Le Centre,Alleanza del Centro,Die Mitte-Fraktion. Die Mitte. EVP.,Le Groupe du Centre. Le Centre. PEV.,Il Gruppo del Centro. Alleanza del Centro. PEV.,1,1,1,0,1,0,1,1,4,1
525,Roberto Zanetti,Roberto,Zanetti,1954-12-14,Solothurn,Soleure,Soletta,Sozialdemokratische Partei der Schweiz,Parti socialiste suisse,Partito socialista svizzero,Sozialdemokratische Fraktion,Groupe socialiste,Gruppo socialista,4,0,1,1,0,1,1,1,0,1
4244,Mathias Zopfi,Mathias,Zopfi,1983-12-02,Glarus,Glaris,Glarona,GRÜNE Schweiz,Les VERT-E-S suisses,VERDI Svizzeri,Grüne Fraktion,Groupe des VERT-E-S,Gruppo dei Verdi,1,0,1,1,0,1,1,1,1,1
